	DTL	DTM	DTS	DTT	TN1	TN10	TN11	TN12	TN13	TN14	TN15	TN16	TN17	TN18	TN2	TN20	TN23	TN24	TN3	TN4	TN5	TN7	TN8	TN9	WA1	WA10	WA11	WA13	WA14	WA15	WA17	WA18	WA19	WA2	WA21	WA22	WA24	WA3	WA4	WA5	WA6	WA7	WA8	WA9
DTL	0.0	0.8858333333333334	0.8966666666666666	0.8908333333333334	1.0	1.0	1.0	0.9975	0.9975	1.0	1.0	1.0	0.9958333333333333	1.0	0.9975	0.9958333333333333	1.0	1.0	1.0	0.9991666666666666	0.9991666666666666	0.9975	0.9983333333333333	1.0	0.9975	0.9975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9975	1.0	0.9958333333333333	0.9933333333333333	0.9975	0.9975	0.9975	0.9958333333333333	0.9975	1.0	1.0
DTM	0.8858333333333334	0.0	0.8608333333333333	0.8833333333333333	1.0	0.9975	0.9975	0.99	0.9983333333333333	1.0	1.0	0.9975	0.9975	0.9975	0.9958333333333333	0.99	0.99	0.9975	1.0	0.9975	0.9958333333333333	0.9975	0.9975	1.0	0.9983333333333333	0.9983333333333333	0.9983333333333333	0.9975	0.9975	1.0	0.9983333333333333	0.9958333333333333	1.0	0.9983333333333333	1.0	0.9916666666666667	0.995	0.9933333333333333	0.9983333333333333	0.9958333333333333	0.9983333333333333	0.9983333333333333	0.9983333333333333	1.0
DTS	0.8966666666666666	0.8608333333333333	0.0	0.8875	0.9858333333333333	0.9958333333333333	0.9858333333333333	0.9916666666666667	0.9791666666666666	0.9858333333333333	0.9858333333333333	1.0	0.9891666666666666	0.9858333333333333	0.9675	0.9916666666666667	0.9983333333333333	0.985	0.9841666666666666	0.9858333333333333	0.9816666666666667	0.9858333333333333	0.9841666666666666	0.9858333333333333	0.9958333333333333	0.9908333333333333	0.9958333333333333	1.0	1.0	1.0	0.9958333333333333	0.9941666666666666	0.9858333333333333	0.9958333333333333	0.9858333333333333	0.99	0.9866666666666667	1.0	0.9958333333333333	0.9958333333333333	0.9908333333333333	0.9841666666666666	0.9975	0.9883333333333333
DTT	0.8908333333333334	0.8833333333333333	0.8875	0.0	0.9925	0.9866666666666667	0.9908333333333333	0.9908333333333333	0.9975	0.9966666666666667	0.9991666666666666	1.0	0.9883333333333333	0.9991666666666666	0.9975	0.9966666666666667	1.0	0.9991666666666666	0.9991666666666666	0.9991666666666666	0.9975	0.9991666666666666	1.0	0.9991666666666666	0.9983333333333333	0.9983333333333333	0.9983333333333333	1.0	0.9958333333333333	0.9933333333333333	0.9983333333333333	0.9983333333333333	0.9991666666666666	0.9983333333333333	0.9991666666666666	0.9941666666666666	0.9941666666666666	1.0	0.9983333333333333	0.9941666666666666	0.9983333333333333	0.9983333333333333	0.9983333333333333	0.9933333333333333
TN1	1.0	1.0	0.9858333333333333	0.9925	0.0	0.8641666666666666	0.7483333333333333	0.8633333333333333	0.6758333333333333	0.7125	0.625	0.93	0.7891666666666667	0.6683333333333333	0.7458333333333333	0.82	0.85	0.6591666666666667	0.6883333333333334	0.5516666666666666	0.7858333333333334	0.8108333333333333	0.8575	0.6666666666666666	0.9183333333333333	0.9708333333333333	0.9575	0.9216666666666666	0.9775	0.8983333333333333	0.9858333333333333	0.9658333333333333	0.8266666666666667	0.9133333333333333	0.7283333333333334	0.9466666666666667	0.9633333333333334	0.9833333333333333	0.9283333333333333	0.9208333333333333	0.955	0.9533333333333334	0.9683333333333334	0.9375
TN10	1.0	0.9975	0.9958333333333333	0.9866666666666667	0.8641666666666666	0.0	0.5275	0.7116666666666667	0.8375	0.8791666666666667	0.85	0.8083333333333333	0.7358333333333333	0.8325	0.7541666666666667	0.6208333333333333	0.7616666666666667	0.7275	0.8158333333333333	0.8325	0.6391666666666667	0.8016666666666666	0.7675	0.7358333333333333	0.8491666666666666	0.845	0.9475	0.79	0.945	0.8783333333333333	0.9483333333333334	0.8966666666666666	0.8591666666666666	0.8683333333333333	0.8516666666666667	0.9	0.9275	0.9066666666666666	0.8925	0.8508333333333333	0.9025	0.9183333333333333	0.9866666666666667	0.9
TN11	1.0	0.9975	0.9858333333333333	0.9908333333333333	0.7483333333333333	0.5275	0.0	0.61	0.71	0.7916666666666666	0.7275	0.7691666666666667	0.6716666666666666	0.7175	0.7	0.5116666666666667	0.7741666666666667	0.64	0.7233333333333334	0.715	0.6125	0.6933333333333334	0.7558333333333334	0.6175	0.8183333333333334	0.8841666666666667	0.9625	0.7291666666666666	0.9433333333333334	0.8633333333333333	0.935	0.8958333333333334	0.7783333333333333	0.9041666666666667	0.7683333333333333	0.9116666666666666	0.935	0.9191666666666667	0.8841666666666667	0.8333333333333334	0.9266666666666666	0.895	0.9816666666666667	0.8891666666666667
TN12	0.9975	0.99	0.9916666666666667	0.9908333333333333	0.8633333333333333	0.7116666666666667	0.61	0.0	0.79	0.735	0.8075	0.7825	0.7091666666666666	0.825	0.735	0.575	0.8425	0.9133333333333333	0.8133333333333334	0.8608333333333333	0.7366666666666667	0.9008333333333334	0.845	0.8933333333333333	0.8841666666666667	0.9341666666666667	0.9333333333333333	0.6858333333333333	0.9141666666666667	0.8408333333333333	0.9391666666666667	0.8633333333333333	0.7308333333333333	0.8966666666666666	0.7733333333333333	0.8833333333333333	0.9141666666666667	0.9325	0.8741666666666666	0.895	0.9258333333333333	0.8475	0.9066666666666666	0.8791666666666667
TN13	0.9975	0.9983333333333333	0.9791666666666666	0.9975	0.6758333333333333	0.8375	0.71	0.79	0.0	0.4075	0.7291666666666666	0.9825	0.8	0.6883333333333334	0.7083333333333334	0.8408333333333333	0.8858333333333334	0.4558333333333333	0.33166666666666667	0.54	0.76	0.7083333333333334	0.9033333333333333	0.7058333333333333	0.925	0.9541666666666667	0.9216666666666666	0.9158333333333334	0.9516666666666667	0.9133333333333333	0.865	0.8825	0.7625	0.925	0.5341666666666667	0.9225	0.9058333333333334	0.9758333333333333	0.9633333333333334	0.9416666666666667	0.9616666666666667	0.94	0.9316666666666666	0.9608333333333333
TN14	1.0	1.0	0.9858333333333333	0.9966666666666667	0.7125	0.8791666666666667	0.7916666666666666	0.735	0.4075	0.0	0.6725	0.9658333333333333	0.7475	0.65	0.7433333333333333	0.8725	0.885	0.5366666666666666	0.3933333333333333	0.5766666666666667	0.8216666666666667	0.7958333333333333	0.9325	0.74	0.9391666666666667	0.9391666666666667	0.8866666666666667	0.9141666666666667	0.9233333333333333	0.9016666666666666	0.9183333333333333	0.9033333333333333	0.7425	0.9091666666666667	0.5141666666666667	0.8908333333333334	0.9183333333333333	0.9875	0.935	0.9275	0.9516666666666667	0.935	0.8758333333333334	0.9575
