	pielou_e
DTL	0.9376857453551289
DTM	0.9445599199476296
DTS	0.951700067844323
DTT	0.9363705751929942
TN1	0.9134863603874532
TN10	0.908365269394267
TN11	0.9361565442321733
TN12	0.9405097406380176
TN13	0.8300246743077903
TN14	0.8231851089556845
TN15	0.9009698098128298
TN16	0.8948414744715755
TN17	0.8598204799361852
TN18	0.8801476843906577
TN2	0.8172251965161493
TN20	0.9338794475778247
TN23	0.891237577066945
TN24	0.8439691395157347
TN3	0.8072242108955766
TN4	0.8576102809998517
TN5	0.9413213020219664
TN7	0.9243915345539019
TN8	0.869518845582307
TN9	0.906029545253108
WA1	0.9303726202532437
WA10	0.9328917543252797
WA11	0.8823857667769534
WA13	0.8835462671479776
WA14	0.8192076667062017
WA15	0.7057860285937542
WA17	0.8860409553951953
WA18	0.901968006493182
WA19	0.8095642844041389
WA2	0.9350010437892187
WA21	0.9282033691569831
WA22	0.8946055775174448
WA24	0.9153837750221331
WA3	0.9063991061279839
WA4	0.9108668958045031
WA5	0.8819322340667279
WA6	0.9042021825369768
WA7	0.8516677922871959
WA8	0.7631706626013163
WA9	0.8890499455658888
