	DTL	DTM	DTS	DTT	TN1	TN10	TN11	TN12	TN13	TN14	TN15	TN16	TN17	TN18	TN2	TN20	TN23	TN24	TN3	TN4	TN5	TN7	TN8	TN9	WA1	WA10	WA11	WA13	WA14	WA15	WA17	WA18	WA19	WA2	WA21	WA22	WA24	WA3	WA4	WA5	WA6	WA7	WA8	WA9
DTL	0.0	0.9389179755671903	0.9475409836065574	0.9558823529411765	1.0	1.0	1.0	0.9969512195121951	0.9966887417218543	1.0	1.0	1.0	0.996742671009772	1.0	0.9969418960244648	0.9969135802469136	1.0	1.0	1.0	0.9968652037617555	0.9969325153374233	0.9969512195121951	0.996742671009772	1.0	0.9969512195121951	0.9966996699669967	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9967637540453075	1.0	0.997134670487106	0.9941520467836257	0.9963636363636363	0.9970059880239521	0.9969512195121951	0.9940119760479041	0.9966996699669967	1.0	1.0
DTM	0.9389179755671903	0.0	0.9320113314447592	0.940809968847352	1.0	0.9977011494252873	0.9976958525345622	0.9954441913439636	0.9975845410628019	1.0	1.0	0.9974489795918368	0.9976133651551312	0.9974424552429667	0.9954337899543378	0.9954022988505747	0.9948186528497409	0.9975903614457832	1.0	0.9976798143851509	0.9954233409610984	0.9977272727272727	0.9976133651551312	1.0	0.9977272727272727	0.9975903614457832	0.9975124378109452	0.9977220956719818	0.9975186104218362	1.0	0.9978540772532188	0.995575221238938	1.0	0.997624703087886	1.0	0.9934640522875817	0.9955947136563876	0.9948186528497409	0.9977578475336323	0.9954441913439636	0.9977628635346756	0.9975903614457832	0.9975062344139651	1.0
DTS	0.9475409836065574	0.9320113314447592	0.0	0.9422222222222222	0.9928741092636579	0.997867803837953	0.9935622317596566	0.9936440677966102	0.9887387387387387	0.9932126696832579	0.9929245283018868	1.0	0.9933481152993349	0.9929078014184397	0.9871794871794872	0.9935897435897436	0.997624703087886	0.9910313901345291	0.991130820399113	0.9935205183585313	0.9914712153518124	0.9936440677966102	0.995575221238938	0.9929577464788732	0.9978902953586498	0.9955357142857143	0.9977064220183486	1.0	1.0	1.0	0.998	0.9958847736625515	0.9933035714285714	0.9978021978021978	0.9930555555555556	0.9939148073022313	0.9938398357289527	1.0	0.9979166666666667	0.9978902953586498	0.9958333333333333	0.9955357142857143	0.9977011494252873	0.9977426636568849
DTT	0.9558823529411765	0.940809968847352	0.9422222222222222	0.0	0.9942528735632183	0.9949238578680203	0.9923469387755102	0.9949874686716792	0.9946380697050938	0.994579945799458	0.9971590909090909	1.0	0.9893617021276596	0.9971509971509972	0.9949748743718593	0.9949367088607595	1.0	0.9973333333333333	0.9973684210526316	0.9974424552429667	0.9949622166246851	0.9975	1.0	0.9971751412429378	0.9975	0.9973333333333333	0.9972375690607734	1.0	0.9972451790633609	0.9972067039106145	0.9976525821596244	0.9975786924939467	0.9973404255319149	0.9973753280839895	0.9972222222222222	0.9952380952380953	0.9951690821256038	1.0	0.9975369458128078	0.9949874686716792	0.9975429975429976	0.9973333333333333	0.997229916897507	0.997289972899729
TN1	1.0	1.0	0.9928741092636579	0.9942528735632183	0.0	0.8842105263157894	0.8461538461538461	0.9117647058823529	0.8666666666666667	0.875	0.8113207547169812	0.95	0.8311688311688312	0.8518518518518519	0.8888888888888888	0.9081632653061225	0.9056603773584906	0.8378378378378378	0.8902439024390244	0.8409090909090909	0.8762886597938144	0.900990099009901	0.9156626506024096	0.8392857142857143	0.9626168224299065	0.9761904761904762	0.9571428571428572	0.9423076923076923	0.9428571428571428	0.921875	0.9851851851851852	0.9666666666666667	0.8846153846153846	0.9302325581395349	0.9076923076923077	0.96875	0.9586776859504132	0.9824561403508771	0.9459459459459459	0.9428571428571428	0.9649122807017544	0.963855421686747	0.9714285714285714	0.9473684210526315
TN10	1.0	0.9977011494252873	0.997867803837953	0.9949238578680203	0.8842105263157894	0.0	0.6146788990825688	0.7734375	0.8508771929824561	0.8956521739130435	0.8877551020408163	0.8645833333333334	0.7747747747747747	0.875	0.752	0.7355371900826446	0.8444444444444444	0.8	0.8290598290598291	0.84375	0.7295081967213115	0.8540145985401459	0.7747747747747747	0.8064516129032258	0.9097222222222222	0.9	0.9469026548672567	0.8529411764705882	0.9090909090909091	0.883495145631068	0.9542857142857143	0.9102564102564102	0.8728813559322034	0.8870967741935484	0.9065420560747663	0.9079754601226994	0.9447852760736196	0.9166666666666666	0.9133333333333333	0.8943661971830986	0.9281045751633987	0.9	0.9827586206896551	0.8947368421052632
TN11	1.0	0.9976958525345622	0.9935622317596566	0.9923469387755102	0.8461538461538461	0.6146788990825688	0.0	0.7317073170731707	0.7850467289719626	0.875	0.8387096774193549	0.851063829787234	0.7142857142857143	0.8241758241758241	0.7295081967213115	0.6428571428571429	0.8295454545454546	0.7281553398058253	0.7964601769911505	0.824	0.7272727272727273	0.8091603053435115	0.8053097345132744	0.7640449438202247	0.9241379310344827	0.9349593495934959	0.9464285714285714	0.8257575757575758	0.9375	0.8932038834951457	0.9540229885057471	0.9166666666666666	0.8214285714285714	0.9461538461538461	0.8846153846153846	0.9207317073170732	0.950920245398773	0.9489795918367347	0.9271523178807947	0.9166666666666666	0.9551282051282052	0.9173553719008265	0.9826086956521739	0.9224137931034483
TN12	0.9969512195121951	0.9954441913439636	0.9936440677966102	0.9949874686716792	0.9117647058823529	0.7734375	0.7317073170731707	0.0	0.8571428571428571	0.8214285714285714	0.8932038834951457	0.86	0.7739130434782608	0.87	0.7222222222222222	0.6942148760330579	0.898989898989899	0.904	0.8455284552845529	0.8832116788321168	0.7969924812030075	0.9054054054054054	0.8629032258064516	0.9357798165137615	0.9411764705882353	0.9461538461538461	0.9401709401709402	0.8074074074074075	0.9224137931034483	0.8990825688073395	0.9497206703910615	0.89937106918239	0.8103448275862069	0.9328358208955224	0.8490566037735849	0.8975903614457831	0.9464285714285714	0.9519230769230769	0.9019607843137255	0.92	0.9503105590062112	0.8861788617886179	0.9576271186440678	0.9173553719008265
TN13	0.9966887417218543	0.9975845410628019	0.9887387387387387	0.9946380697050938	0.8666666666666667	0.8508771929824561	0.7850467289719626	0.8571428571428571	0.0	0.7073170731707317	0.7945205479452054	0.9767441860465116	0.8144329896907216	0.7571428571428571	0.7727272727272727	0.8813559322033898	0.8933333333333333	0.7528089887640449	0.6511627906976745	0.7669902912621359	0.8141592920353983	0.7964601769911505	0.883495145631068	0.8157894736842105	0.9206349206349206	0.9117647058823529	0.8735632183908046	0.92	0.9354838709677419	0.9069767441860465	0.8827586206896552	0.8880597014925373	0.7692307692307693	0.9065420560747663	0.6666666666666666	0.9020979020979021	0.9136690647482014	0.9625	0.9558823529411765	0.9457364341085271	0.9562043795620438	0.9528301886792453	0.9101123595505618	0.9603960396039604
TN14	1.0	1.0	0.9932126696832579	0.994579945799458	0.875	0.8956521739130435	0.875	0.8214285714285714	0.7073170731707317	0.0	0.8169014084507042	0.9629629629629629	0.84375	0.7971014492753623	0.8198198198198198	0.896551724137931	0.8714285714285714	0.8241758241758241	0.6666666666666666	0.7941176470588235	0.8793103448275862	0.8521739130434782	0.900990099009901	0.8378378378378378	0.9354838709677419	0.93	0.8809523809523809	0.9262295081967213	0.8823529411764706	0.9024390243902439	0.9251700680272109	0.9259259259259259	0.7865168539325843	0.9339622641509434	0.704225352112676	0.8913043478260869	0.9347826086956522	0.974025974025974	0.9465648854961832	0.9354838709677419	0.9626865671641791	0.9611650485436893	0.9186046511627907	0.9479166666666666
TN15	1.0	1.0	0.9929245283018868	0.9971590909090909	0.8113207547169812	0.8877551020408163	0.8387096774193549	0.8932038834951457	0.7945205479452054	0.8169014084507042	0.0	0.8813559322033898	0.7432432432432432	0.673469387755102	0.8469387755102041	0.8775510204081632	0.8703703703703703	0.8289473684210527	0.825	0.7790697674418605	0.8085106382978723	0.8932038834951457	0.8928571428571429	0.7857142857142857	0.9345794392523364	0.9404761904761905	0.958904109589041	0.9134615384615384	0.9452054794520548	0.9411764705882353	0.9552238805970149	0.9416666666666667	0.8461538461538461	0.9325842696629213	0.84375	0.937007874015748	0.9512195121951219	0.9833333333333333	0.9380530973451328	0.9345794392523364	0.9478260869565217	0.9651162790697675	0.9436619718309859	0.9753086419753086
TN16	1.0	0.9974489795918368	1.0	1.0	0.95	0.8645833333333334	0.851063829787234	0.86	0.9767441860465116	0.9629629629629629	0.8813559322033898	0.0	0.8658536585365854	0.9166666666666666	0.8585858585858586	0.8297872340425532	0.8269230769230769	0.9404761904761905	0.967032967032967	0.9285714285714286	0.845360824742268	0.9541284403669725	0.8928571428571429	0.9206349206349206	0.9636363636363636	0.9651162790697675	0.972972972972973	0.8921568627450981	0.9733333333333334	0.9714285714285714	0.9855072463768116	0.967479674796748	0.9285714285714286	0.967391304347826	0.9577464788732394	0.9849624060150376	0.9761904761904762	0.9661016949152542	0.9565217391304348	0.9444444444444444	0.9658119658119658	0.9404761904761905	0.9726027397260274	0.9493670886075949
