	DTL	DTM	DTS	DTT	TN1	TN10	TN11	TN12	TN13	TN14	TN15	TN16	TN17	TN18	TN2	TN20	TN23	TN24	TN3	TN4	TN5	TN7	TN8	TN9	WA1	WA10	WA11	WA13	WA14	WA15	WA17	WA18	WA19	WA2	WA21	WA22	WA24	WA3	WA4	WA5	WA6	WA7	WA8	WA9
DTL	0.0	0.5647279272469907	0.5671604717336098	0.6140651993302847	0.9029798706795744	0.9164185281728745	0.9213277044366146	0.9261739563792742	0.9273508290379329	0.9110827267661126	0.9041950737498674	0.9094705267498778	0.9187690835470388	0.8967527826200723	0.9254883150929758	0.9126140576795431	0.9005511899196645	0.9166813698421241	0.9130643662673332	0.9176939530838876	0.9216628592687617	0.9054327263500687	0.9192000666923347	0.9208893071605658	0.8854028643971898	0.9017659587849831	0.8942173021319499	0.9105013738168186	0.930596554617083	0.9336980424508656	0.8287228043042115	0.8930330580810856	0.9348571269215983	0.9233774075457407	0.9239194188207286	0.8874722933908259	0.9081127463898407	0.911282984528904	0.871194180677055	0.888929640779194	0.8330399401275314	0.8992624190008528	0.8972217127615598	0.9030039177340847
DTM	0.5647279272469907	0.0	0.5461480146703642	0.6233489354626777	0.9181947207639325	0.9337094067551235	0.9362923242556358	0.9357491627086947	0.9354307652261934	0.9243834014065899	0.9254453899362336	0.93037901200058	0.9299544226363902	0.9203287704673359	0.9358710681222396	0.9311438550668745	0.9242432360203022	0.9289253977058265	0.9269964098278187	0.9309383013690503	0.933585451981644	0.9212737153256273	0.9317051094014969	0.9343309322047989	0.8777348026476337	0.9187138550574402	0.916992682325256	0.9282167310325155	0.9393118640573476	0.9420786837934586	0.907123229152899	0.9152897904642531	0.9422948524522995	0.934024608386334	0.9356191261209934	0.9088657609656028	0.9219542147581256	0.9287507299740959	0.917719112107644	0.9134049202133833	0.8972193099978577	0.9220463527361817	0.9164815792009786	0.9221577911188532
DTS	0.5671604717336098	0.5461480146703642	0.0	0.6231277980530722	0.9051019489512826	0.9471179240324473	0.948896355720137	0.952416971329056	0.9348376953028065	0.9334976106052013	0.9414104990130648	0.9463005248382081	0.9473391975321553	0.9366151974049581	0.9527086127634906	0.946130058788836	0.9416767171563323	0.9192432189785946	0.9146100151569179	0.9227590294165259	0.9309851030618834	0.9094737152408462	0.9299135084274851	0.9254840845827484	0.9158654231094747	0.9124608159415261	0.9329588693631051	0.9413273883785472	0.9452715590922057	0.9421731734988337	0.9174547821009293	0.9239573562925776	0.9395988126258671	0.9249442934866362	0.9259880992670962	0.9198780719013211	0.9183667313926394	0.926809947397158	0.9246555633783253	0.9250634119142279	0.9079287380327575	0.934391519548936	0.9367788370331198	0.9360197430613334
DTT	0.6140651993302847	0.6233489354626777	0.6231277980530722	0.0	0.9227721565392374	0.9012581485992587	0.8975648608320185	0.9086978343980264	0.9284617547158129	0.9205474922349477	0.9057212939312936	0.8914363962236749	0.8983504476296421	0.880816974973189	0.90988583862937	0.8951554580877874	0.8877955042421872	0.9279107652839602	0.92878939016826	0.9288828670822102	0.9312500949852098	0.925534615058927	0.9299061973304916	0.9379702601648503	0.9012134707712485	0.9209574835296741	0.9096404289716198	0.8889139406145745	0.9021291368293973	0.9390872400840409	0.9018200922914118	0.9031546423476425	0.9289863659582414	0.9294862559410035	0.9332242631510757	0.9068998111495482	0.9192419552896322	0.929003598555773	0.8787702104043961	0.8757730927917626	0.8899557710541007	0.9078181524221417	0.9089586248372408	0.9100291221909711
TN1	0.9029798706795744	0.9181947207639325	0.9051019489512826	0.9227721565392374	0.0	0.8622560585229646	0.8620153933364313	0.8887272550808571	0.7771713735078594	0.7065944728073609	0.7816595655239293	0.8174327786959579	0.8665028946370888	0.7334751236354633	0.882981090368033	0.8360040164076434	0.7417183673029526	0.5421703320152413	0.46452088082041554	0.4840503123518728	0.7228708992883506	0.3263015631650357	0.7251968661060361	0.3230801441762731	0.7496403710612041	0.5916676289778828	0.7197317537859632	0.8468942857584897	0.8170046342720901	0.8390222574905333	0.7377060061954834	0.7786765920060187	0.8314832981475638	0.6623336637010234	0.49600568499812925	0.741265941996519	0.6905017932606229	0.5918754075859495	0.841700682974473	0.7607504641232199	0.7031802736238578	0.8181680513307117	0.7462400554574701	0.7715173176474506
TN10	0.9164185281728745	0.9337094067551235	0.9471179240324473	0.9012581485992587	0.8622560585229646	0.0	0.5786288468512873	0.5691870186002532	0.694326408748658	0.6474284702448069	0.6400184886360308	0.6029990983363701	0.5401851548559956	0.6042230392046883	0.5619548659648792	0.5589113007662698	0.6555096824953615	0.7312523595809451	0.8662802314671157	0.8599944156802674	0.6356161765503745	0.8588326084912624	0.6515550785419721	0.8605522371624446	0.6664968118956889	0.8095320341521531	0.857897147782815	0.45129877344899083	0.7350245512674701	0.7303187913571597	0.803174717131858	0.6202868146209638	0.6775101320283688	0.7874318590976846	0.8674197124207842	0.7550666538665074	0.691285133623899	0.7893662071060965	0.5771689400108214	0.49429189866541573	0.7582175190642733	0.5996149506596293	0.8568234436140887	0.7758451784021436
TN11	0.9213277044366146	0.9362923242556358	0.948896355720137	0.8975648608320185	0.8620153933364313	0.5786288468512873	0.0	0.6303283959133161	0.7776688795386266	0.6576454237466219	0.631217064346428	0.6080195894536007	0.43607864523663825	0.6755419176419616	0.5477617864669416	0.49587098676356933	0.647699882652732	0.7377366841583903	0.8316181399015249	0.8658732586982291	0.6374885277346306	0.865241988795879	0.6557955426722387	0.8653337657102493	0.6793514811413721	0.7826049308096704	0.8585900468417818	0.4912768070656615	0.7187842568008327	0.7790046720203994	0.7908457947510228	0.6758682283157049	0.6771875372505831	0.8038637127372406	0.8723248910817176	0.7385225037206686	0.7479411466806133	0.7886285499240456	0.6413077327301014	0.5211977733443578	0.7597203358351597	0.7075609876033216	0.8567406110151619	0.7837665791736534
TN12	0.9261739563792742	0.9357491627086947	0.952416971329056	0.9086978343980264	0.8887272550808571	0.5691870186002532	0.6303283959133161	0.0	0.7563759744702033	0.7096216568144494	0.69001506764394	0.6095307688756156	0.5324473790525756	0.6590771219765752	0.6694245164756096	0.5602084403728647	0.7056115763815766	0.7870565920992116	0.8912915621163638	0.8867858706519199	0.6957213249668974	0.888686389044145	0.7092616570807668	0.8942179921890073	0.7097844123413032	0.8153450898903262	0.8776292521967216	0.6108729645520526	0.7683477949942601	0.7559505311975664	0.8237628993043024	0.7227174038344651	0.6924320396279345	0.8316397903756532	0.8953165796658544	0.7135716103823498	0.7256188365547569	0.8287695081257214	0.682325680395443	0.5939080067598809	0.7949693230845121	0.6942737082082471	0.8644861822728712	0.8135535338659404
TN13	0.9273508290379329	0.9354307652261934	0.9348376953028065	0.9284617547158129	0.7771713735078594	0.694326408748658	0.7776688795386266	0.7563759744702033	0.0	0.6066718487020281	0.5766880020327141	0.7216871534743711	0.6249823974217387	0.5979270203292671	0.7611906088732828	0.7339529548694192	0.7400788911942134	0.7011640382142605	0.7797589010531137	0.6448191441950972	0.6283281528363625	0.7648204518140397	0.6278110650327398	0.7737271871253527	0.6532334220182945	0.7034971816367229	0.7496102355654313	0.7311184002439555	0.7388794164957805	0.6606025672727125	0.7768188707866868	0.7070048691959334	0.5039416116477732	0.6211248779644756	0.6482542367918167	0.7369495305257967	0.4294884144255363	0.6670821028209372	0.656247746595658	0.6742341624373623	0.7153067424361956	0.6434807338212883	0.765777002257321	0.6256319752567222
TN14	0.9110827267661126	0.9243834014065899	0.9334976106052013	0.9205474922349477	0.7065944728073609	0.6474284702448069	0.6576454237466219	0.7096216568144494	0.6066718487020281	0.0	0.4413933807478786	0.6140180389938721	0.6634388277319877	0.6593484833339195	0.7028833253579124	0.5572321035621441	0.642451646614361	0.4461665528183619	0.7173840287891687	0.7075106430240208	0.3752336206267344	0.7048182996762532	0.37544090521713674	0.7094034037590967	0.42650135408265366	0.6386796751378649	0.7765822388221834	0.6263041135137127	0.571188545652327	0.7301176233004103	0.7050424606991915	0.5206368652684309	0.5861607333043584	0.664269629111029	0.7319910338259896	0.6726302112981496	0.5347466204960217	0.5801312002523568	0.619187237132634	0.45673758324306873	0.6309588635559182	0.6107615145377489	0.7944183773731955	0.641233961999629
TN15	0.9041950737498674	0.9254453899362336	0.9414104990130648	0.9057212939312936	0.7816595655239293	0.6400184886360308	0.631217064346428	0.69001506764394	0.5766880020327141	0.4413933807478786	0.0	0.5873932063653673	0.5720839150472211	0.6513989202575506	0.6858178672320541	0.5378800625164115	0.6391629082726284	0.5834495668583276	0.8050949039842404	0.6612294948801188	0.4665895994800865	0.793101894055724	0.45138554217812005	0.7808549080772806	0.5090334432176851	0.7149869451004206	0.6811482993281746	0.6004324888572652	0.631885963834033	0.7353846231104743	0.7225773105936546	0.5494150816592883	0.5325408514812063	0.5783168376318911	0.6628428190865258	0.70069900985197	0.6337459588583209	0.664131121852584	0.5479900113058905	0.4606015795574601	0.6567669085544345	0.5705435322397423	0.6909943206899435	0.5329287474805176
TN16	0.9094705267498778	0.93037901200058	0.9463005248382081	0.8914363962236749	0.8174327786959579	0.6029990983363701	0.6080195894536007	0.6095307688756156	0.7216871534743711	0.6140180389938721	0.5873932063653673	0.0	0.6186893929519193	0.5390400531541407	0.6246773908154934	0.49458104287829896	0.3875521322402989	0.7321184125619452	0.8383582113206693	0.8280435643840449	0.5933978111736082	0.8289035787565884	0.532099553540352	0.8201592371599262	0.6451162188071625	0.7559103062642439	0.8124922960070161	0.5010510009982975	0.7339131947217712	0.6668377666545695	0.7576999630404133	0.5688393392832636	0.6453744094231214	0.728976312127289	0.8310092219910578	0.7295299696281535	0.6720993258621741	0.6932376356043264	0.6102044031269089	0.4167247285298548	0.6906302768679773	0.48043190880849934	0.8161231001727436	0.7044478004097131
TN17	0.9187690835470388	0.9299544226363902	0.9473391975321553	0.8983504476296421	0.8665028946370888	0.5401851548559956	0.43607864523663825	0.5324473790525756	0.6249823974217387	0.6634388277319877	0.5720839150472211	0.6186893929519193	0.0	0.5711037227234691	0.5051308974191363	0.5765404139401927	0.6686452479666114	0.7486806802289712	0.8728809324599176	0.7969159341627278	0.6570475413543697	0.8660032770518198	0.6785974426235418	0.8734003458606929	0.6654534998764903	0.8221375321544047	0.8028848099305274	0.5580950899503071	0.744014747649649	0.7462299037574319	0.8152479293885984	0.6895764318814221	0.5784130077046955	0.7333333665400217	0.812745544720485	0.7871412343941528	0.656496988045889	0.7981694666413945	0.5762481898004732	0.5312048273769806	0.769331117985222	0.6569505286057583	0.787485177586949	0.7187973164306193
TN18	0.8967527826200723	0.9203287704673359	0.9366151974049581	0.880816974973189	0.7334751236354633	0.6042230392046883	0.6755419176419616	0.6590771219765752	0.5979270203292671	0.6593484833339195	0.6513989202575506	0.5390400531541407	0.5711037227234691	0.0	0.6631784850403993	0.583532792847779	0.5214658859349998	0.6540600377170794	0.7623209073973491	0.748979333396855	0.7044383712487307	0.7463166689992062	0.7095414539179471	0.7285205105096855	0.6963903926026175	0.7719902248372881	0.7452689374489603	0.646682131620287	0.7643343220929988	0.7050983615467883	0.7660956713057523	0.7081411369820351	0.6701798691919012	0.7093201680919909	0.7504527412152032	0.7719928809389742	0.5238252546015445	0.7663642039608144	0.6488753426219128	0.48818381413244794	0.733474972533551	0.620527628586074	0.7545370438822249	0.7395813681516084
TN2	0.9254883150929758	0.9358710681222396	0.9527086127634906	0.90988583862937	0.882981090368033	0.5619548659648792	0.5477617864669416	0.6694245164756096	0.7611906088732828	0.7028833253579124	0.6858178672320541	0.6246773908154934	0.5051308974191363	0.6631784850403993	0.0	0.6373875918727465	0.6395383930872579	0.7793898952487464	0.8783159983571501	0.8795246704952068	0.7108553900937925	0.8811473130206646	0.661312382259929	0.886029115875061	0.6977354022295562	0.8417360858879515	0.8741632975314613	0.5697144909018635	0.7680547386735768	0.7267789973536749	0.8283065402787991	0.6631598620423564	0.6810913866136112	0.8427460883878131	0.8864987087681232	0.8023596848860889	0.7275148572550603	0.8185376106324607	0.6761063396912113	0.6030958958209964	0.7868369704335032	0.6075925298784631	0.8602729144329756	0.8063327847285254
TN20	0.9126140576795431	0.9311438550668745	0.946130058788836	0.8951554580877874	0.8360040164076434	0.5589113007662698	0.49587098676356933	0.5602084403728647	0.7339529548694192	0.5572321035621441	0.5378800625164115	0.49458104287829896	0.5765404139401927	0.583532792847779	0.6373875918727465	0.0	0.5243949693731444	0.6663226276662708	0.8428910839569594	0.8329079114997887	0.5269914861172403	0.8328546290271805	0.5537493740376962	0.8324572208884161	0.5916496968732191	0.7183984596906704	0.8287645460022217	0.44829287239713783	0.6648559035235345	0.7773108234785032	0.7462064880812488	0.6079165598226368	0.6558879469378058	0.7469939783819421	0.84251181278672	0.6764476920305975	0.683786838468222	0.7354523136463657	0.5660511982797273	0.37129104257343154	0.697599726384778	0.62667211526087	0.8207201041649019	0.7218561826552525
