	DTL	DTM	DTS	DTT	TN1	TN10	TN11	TN12	TN13	TN14	TN15	TN16	TN17	TN18	TN2	TN20	TN23	TN24	TN3	TN4	TN5	TN7	TN8	TN9	WA1	WA10	WA11	WA13	WA14	WA15	WA17	WA18	WA19	WA2	WA21	WA22	WA24	WA3	WA4	WA5	WA6	WA7	WA8	WA9
DTL	0.0	0.0838800245899267	0.1358568262107706	0.09751208188491808	0.3377147803492457	0.3673510580020789	0.45764779144094603	0.5217956174677085	0.38451654249038186	0.37321206058751877	0.3796262493893651	0.44295809437439904	0.37867557425486603	0.3710190431992694	0.3873632380051839	0.4433537342359513	0.3705867275454654	0.3550421228663939	0.3838687185888141	0.35902563521941655	0.37572040872819584	0.328399977550024	0.3586351369883694	0.34684331433460186	0.35660279490126523	0.3300853103079424	0.3494386910099216	0.41820122662006004	0.42661451334875333	0.40517303125904935	0.35486974332649135	0.36887183100272325	0.38862930803464746	0.34761134914831787	0.35422773422559706	0.33913465578973695	0.35937045678941976	0.348584131146899	0.3635635830948872	0.3433555193900175	0.3531532348653663	0.3752935986492277	0.38405887712696773	0.36295324057347655
DTM	0.0838800245899267	0.0	0.1149682390117128	0.09493693448027318	0.34390666772987544	0.3711772723738596	0.46225016980350275	0.5253974492139114	0.38572513801974345	0.3796186490446036	0.38292305812615374	0.4463391547203012	0.38319979193075027	0.37583769380670834	0.3926068123941489	0.4450459947553397	0.37322696267197053	0.36030563227805934	0.3824769735435454	0.36362659894899896	0.3795383805022182	0.335216829375734	0.3630985595363178	0.3504608403408214	0.36280222673098134	0.33527987703832646	0.3545686382429357	0.42335697118389354	0.4319540444645064	0.41088458428316105	0.3640778404838506	0.37619574520427773	0.3926813819995543	0.3550156108333365	0.3590425071535116	0.3449753403903183	0.36573064717102494	0.3543093834842696	0.3723266864446878	0.34945375606196605	0.35990693279746067	0.3797001768885335	0.3912815011179774	0.3662153673152389
DTS	0.1358568262107706	0.1149682390117128	0.0	0.1325758602237846	0.31114226668390865	0.33301814336388424	0.42201436324157937	0.4812304895626774	0.35548114281992604	0.3622691202416692	0.34885087212106486	0.40700897048883894	0.3468604250639304	0.3402133912826902	0.35932741829636977	0.4027812513674669	0.32956371612521373	0.3347193442598864	0.35284388603765826	0.33314474371538955	0.3372871323512792	0.29527815598216467	0.3342426928275173	0.3103443506897063	0.32536084887153877	0.2955097895818281	0.32443543676819747	0.38781802712431196	0.4103656924135198	0.3843190560412218	0.3376909324322609	0.3462043571648326	0.36519169785955713	0.3249216330890489	0.3309483686161865	0.30795912572954964	0.3266534914673676	0.31300645053832854	0.33848518625328355	0.3220714265588225	0.3243711300247761	0.3512035214713235	0.36941030093342925	0.3382084974428788
DTT	0.09751208188491808	0.09493693448027318	0.1325758602237846	0.0	0.3552347931029898	0.38013152501106406	0.470333834858483	0.5328515895969249	0.3981738768552452	0.3929206882512088	0.39249550366801395	0.453709165342049	0.39118051700864104	0.38407415560678293	0.4012594654275586	0.45245706878173686	0.3808863807980292	0.37240620318230455	0.39560819760981475	0.37427966460892187	0.3902794236314072	0.3452937539800921	0.37393896606513516	0.36143785793234157	0.3737278996872711	0.34589549004613096	0.36596387047802165	0.43086681413518846	0.44149287158464295	0.42241201689168695	0.3755748142630501	0.38583422895849334	0.4028257632317416	0.36616446338198294	0.3703906114598394	0.35485817513128587	0.37520964061529294	0.3643127906144491	0.38031950328454217	0.35978114079022655	0.370481419255509	0.3882665994498648	0.4025008858210032	0.3755641475108311
TN1	0.3377147803492457	0.34390666772987544	0.31114226668390865	0.3552347931029898	0.0	0.20191210317489547	0.2786019033188002	0.4077944266883139	0.1877393431239266	0.15791720314827273	0.1398753566547651	0.3028737314325945	0.19117900341273303	0.126905813209241	0.17734226038339387	0.2978177821279527	0.20123764604863123	0.14006291014314978	0.20266756473898723	0.09033182222947649	0.14507611168951284	0.08217031389068659	0.19046584703467884	0.08093779704638353	0.12488489489042856	0.15031487306485505	0.14997646274569498	0.2621793945442487	0.28289462988991276	0.238841966685354	0.15730039575362995	0.11560012661235555	0.1875052745589314	0.08469583091439573	0.07367041688754178	0.14456653797741792	0.13679448203096592	0.16934209147068066	0.17175774846030425	0.13532538285316073	0.13968967202891888	0.21854286271614728	0.21849413948155608	0.20340173978837264
TN10	0.3673510580020789	0.3711772723738596	0.33301814336388424	0.38013152501106406	0.20191210317489547	0.0	0.21651780061594098	0.29434393461629754	0.31105170073318084	0.2968092840651687	0.14875830773991444	0.2250040745033136	0.12308268999010909	0.16884183115506438	0.15104659504268375	0.1756017082597804	0.11386837198251108	0.2948355470676202	0.3377196511454564	0.24385137483133576	0.13898036454129784	0.19879403335716328	0.14938977122510166	0.17345638102336164	0.14795704001287896	0.14532374242755886	0.24877594401201214	0.17195241373977876	0.24866424786327146	0.21512905113820047	0.3099159235373638	0.23123776372214938	0.16620603346985832	0.20684500364846112	0.20526848565036654	0.24476530430155133	0.24047678565990888	0.11648591739065188	0.1482622827426851	0.17210190432546404	0.16044483586918845	0.1326753541545264	0.20538467547280334	0.14007794462008263
TN11	0.45764779144094603	0.46225016980350275	0.42201436324157937	0.470333834858483	0.2786019033188002	0.21651780061594098	0.0	0.18721636905710046	0.35845465941974375	0.34782221116157563	0.20745556230797532	0.1918865858064356	0.2283785244650032	0.2564514568900684	0.24614083917634855	0.13921385917068468	0.2161353622258832	0.34550160413489067	0.3860437593178271	0.30801664493067504	0.169958673648799	0.2750329010957482	0.32465830271840757	0.25739149239796716	0.2303964635677247	0.29277679703447446	0.3341615389914657	0.19721695908563808	0.3936345857507317	0.3530791000813067	0.35490494674451745	0.2793737885565919	0.2519458900667996	0.30853050833076756	0.30142904303404033	0.2925315645030301	0.2929550911065941	0.2611840040959696	0.2634680521770419	0.28849826233785303	0.26201608136985066	0.2975142260701201	0.3365693817337883	0.3122281739852291
TN12	0.5217956174677085	0.5253974492139114	0.4812304895626774	0.5328515895969249	0.4077944266883139	0.29434393461629754	0.18721636905710046	0.0	0.49704707835451056	0.48013496307270986	0.33929363574071786	0.21270412625369836	0.32157008271074455	0.385650104231653	0.3606096328041961	0.17335068990080205	0.28932739163968746	0.4825663753829326	0.523255732833663	0.4421497091660113	0.3011150963492774	0.4104034408578177	0.391830430114078	0.3969522105474832	0.3561687762545728	0.39423365236958713	0.44266533440352157	0.25506293898634547	0.46226690929662634	0.4242400457673632	0.4908640558585457	0.4078658833240921	0.3666495938331895	0.4337545378675742	0.4368408075450947	0.411569320548262	0.42706136918350923	0.3431716701089609	0.3675645935484084	0.4128171095703506	0.38850134252245383	0.3609407949220444	0.42247751971123076	0.37752273746907106
TN13	0.38451654249038186	0.38572513801974345	0.35548114281992604	0.3981738768552452	0.1877393431239266	0.31105170073318084	0.35845465941974375	0.49704707835451056	0.0	0.07419749700562939	0.2572620053667979	0.4130847400701267	0.3032422383231803	0.232007789113498	0.29964110244601355	0.39659371880099814	0.31033431711779946	0.079427947350984	0.06083424619168434	0.13439803546569898	0.24908681949378952	0.18329242428030126	0.3184701440647974	0.1812416183477113	0.24588498138490184	0.25133473008465906	0.25427645461953413	0.37679827803848714	0.3953428694665853	0.357949626632783	0.10644581903922659	0.16679170024379003	0.2992351538935977	0.20048474809381617	0.17501630544773342	0.21529088827056694	0.13445521926751702	0.28312011237083307	0.2911362463348023	0.254063761242142	0.24543979556014767	0.3355772385374226	0.32963885991478903	0.3227120527395546
TN14	0.37321206058751877	0.3796186490446036	0.3622691202416692	0.3929206882512088	0.15791720314827273	0.2968092840651687	0.34782221116157563	0.48013496307270986	0.07419749700562939	0.0	0.2328130036208458	0.4016752981324632	0.2837818615208504	0.22239498435869237	0.2744388981246593	0.3803936167653891	0.293433717746201	0.05589126129753709	0.09184772913276477	0.10815596979786007	0.23806740192311113	0.18492823598620978	0.2894676375205802	0.16928877299867454	0.22856712357864428	0.2491160469751164	0.217045352428765	0.3586131479542702	0.35456407214934854	0.3258045816019425	0.10248937099792707	0.13699778655713166	0.2666699193469922	0.17536047855542639	0.14911365974583538	0.19402765348500903	0.1449999486774351	0.27821729965150666	0.27036456442631873	0.22295387983279644	0.23327722823816283	0.31517823156372515	0.29073522591386114	0.30179563719936287
