	shannon
TN1	4.544302065351262
TN10	5.729343179300775
TN11	5.3714797377728205
TN12	5.598684031195476
TN13	4.772702368350272
TN14	4.827509913689702
TN15	4.718871248581264
TN16	4.481030264064491
TN17	5.244449112265632
TN18	4.570511523431363
TN2	5.473221074422164
TN20	5.496524551979532
TN23	4.41712562799857
TN24	5.057392359747794
TN3	4.951272681381302
TN4	5.495667498847419
TN5	5.905637844230159
TN7	5.926349631843216
TN8	5.184547634804857
TN9	4.704386740879556
WA1	5.97071684525416
WA10	5.372276417812059
WA11	4.788952088764433
WA13	5.771135595298027
WA14	4.591660835267169
WA15	3.8104374910643917
WA17	6.0868407006528304
WA18	6.012798706706985
WA19	5.032502194099125
WA2	5.589681363322003
WA21	4.965303556868485
WA22	6.014055907345309
WA24	6.086952758826873
WA3	4.418650627909285
WA4	5.815147307150703
WA5	5.8174313465174174
WA6	5.795101162322144
WA7	5.083632996518978
WA8	4.086848863924344
WA9	5.0008917755905795
